Price (Dollar),discount_percentage,price_before_discount,rating_out_of_5,number_of_ratings,brand,Storage (GB),screen_size (Inches),Price_Category
168.39,5.93,179.0,4.4,64918.0,15,64.0,6.1,0
230.0,0.0,230.0,4.2,52613.0,15,64.0,6.1,1
287.0,0.0,287.0,4.1,25403.0,15,64.0,6.1,1
329.99,0.0,329.99,4.3,25133.0,119,128.0,6.43,1
182.0,0.0,182.0,4.2,21859.0,15,64.0,5.8,0
263.0,24.64,349.0,4.2,21500.0,15,64.0,5.8,1
115.0,26.69,156.86,4.3,18728.0,15,64.0,4.7,0
199.99,20.0,249.99,4.4,16746.0,108,64.0,6.4,0
329.0,0.0,329.0,4.2,16089.0,15,64.0,6.5,1
339.99,0.0,339.99,4.5,14904.0,138,128.0,6.4,1
180.0,5.26,190.0,4.5,14389.0,188,128.0,6.43,0
234.95,0.0,234.95,4.3,13489.0,15,64.0,6.5,1
219.78,0.0,219.78,4.1,13049.0,15,64.0,5.4,1
406.94,31.47,593.84,4.1,11866.0,15,128.0,6.1,2
118.0,5.6,125.0,4.2,10668.0,108,64.0,6.6,0
159.98,13.52,184.99,4.5,10411.0,73,128.0,5.8,0
379.74,27.11,521.01,4.2,10226.0,15,128.0,6.1,1
488.0,0.0,488.0,4.2,9322.0,15,128.0,6.68,2
291.0,0.0,291.0,4.4,8558.0,138,64.0,6.2,1
164.0,4.65,172.0,3.9,7231.0,138,128.0,6.5,0
264.9,0.0,264.9,4.7,7007.0,188,256.0,6.67,1
1101.23,8.23,1199.99,4.6,6959.0,138,256.0,6.8,2
176.0,50.97,358.97,4.3,6689.0,138,64.0,6.3,0
149.99,16.67,179.99,4.4,6648.0,108,128.0,6.4,0
295.0,0.0,295.0,4.3,6614.0,138,256.0,6.8,1
197.0,43.67,349.72,3.9,6218.0,138,128.0,6.2,0
179.99,0.0,179.99,4.0,6199.0,138,128.0,6.2,0
339.99,0.0,339.99,4.2,6081.0,73,128.0,6.4,1
279.99,0.0,279.99,4.2,4647.0,138,128.0,6.5,1
509.99,0.0,509.99,4.1,4605.0,15,128.0,6.1,2
149.99,68.69,479.0,4.3,4554.0,73,1.0,6.0,0
364.0,12.29,415.0,4.1,4200.0,15,128.0,5.4,1
424.99,39.2,699.0,4.3,4182.0,73,256.0,6.3,2
227.44,0.0,227.44,4.2,4044.0,138,256.0,6.3,1
392.0,0.0,392.0,3.9,3797.0,138,128.0,6.8,1
798.98,0.0,798.98,4.5,3758.0,138,128.0,6.9,2
227.0,0.0,227.0,4.2,3558.0,138,256.0,6.3,1
27.99,0.0,27.99,3.7,3558.0,18,2.0,2.4,0
69.99,10.27,78.0,3.9,3432.0,138,32.0,5.83,0
269.99,5.27,285.0,4.4,3430.0,73,128.0,6.0,1
183.0,7.58,198.0,4.3,3276.0,138,128.0,6.4,0
22.99,0.0,22.99,3.2,3275.0,18,32.0,1.8,0
159.99,0.0,159.99,4.3,3205.0,169,32.0,5.83,0
47.99,40.01,79.99,4.0,3200.0,103,16.0,5.8,0
310.41,0.0,310.41,4.3,3148.0,108,4.0,6.8,1
125.0,0.0,125.0,4.3,3078.0,138,32.0,6.2,0
650.0,0.0,650.0,4.2,3018.0,15,256.0,6.7,2
289.98,0.0,289.98,4.3,2989.0,138,64.0,5.8,1
198.0,0.0,198.0,4.2,2960.0,138,128.0,6.4,0
279.0,7.0,299.99,4.2,2945.0,138,256.0,6.8,1
159.0,10.52,177.69,4.3,2920.0,73,128.0,6.2,0
199.99,23.87,262.68,4.1,2871.0,138,128.0,6.7,0
295.0,0.0,295.0,4.4,2830.0,15,64.0,6.0,1
46.75,6.48,49.99,4.2,2805.0,169,32.0,6.5,0
449.0,55.06,999.0,4.2,2723.0,73,256.0,6.7,2
459.49,5.26,485.0,4.2,2690.0,15,128.0,6.1,2
179.74,0.0,179.74,4.2,2668.0,108,128.0,6.5,0
149.99,40.0,249.99,4.2,2565.0,108,4.0,6.5,0
137.5,0.0,137.5,4.6,2555.0,188,256.0,6.74,0
198.0,0.0,198.0,4.2,2515.0,138,128.0,6.4,0
319.95,0.0,319.95,4.0,2490.0,138,128.0,6.9,1
46.99,0.0,46.99,4.0,2478.0,169,4.0,2.8,0
349.0,30.06,499.0,4.3,2443.0,73,128.0,6.1,1
299.5,0.0,299.5,4.4,2435.0,138,256.0,6.6,1
173.95,0.0,173.95,4.2,2394.0,108,6.0,6.8,0
229.5,0.0,229.5,4.2,2360.0,188,6.0,6.67,1
499.0,28.61,699.0,4.3,2353.0,73,128.0,6.2,2
279.99,6.67,299.99,3.9,2334.0,138,128.0,6.8,1
284.99,0.0,284.99,4.7,2325.0,188,256.0,1.4,1
179.0,0.0,179.0,4.2,2321.0,73,4.0,5.5,0
178.0,34.07,269.99,3.9,2296.0,73,64.0,6.0,0
146.0,0.0,146.0,4.2,2257.0,138,128.0,6.5,0
69.99,0.0,69.99,4.1,2245.0,199,0.13,2.4,0
726.05,0.0,726.05,4.1,2194.0,15,128.0,6.7,2
99.0,0.0,99.0,4.3,2138.0,108,16.0,5.0,0
109.99,0.0,109.99,4.1,2132.0,179,3.0,2.45,0
364.0,6.66,389.99,4.5,2096.0,138,128.0,6.2,1
289.0,4.59,302.9,4.0,2085.0,143,128.0,6.8,1
210.95,37.95,339.99,4.2,2080.0,73,8.0,6.4,1
99.21,37.99,159.99,4.1,2070.0,108,32.0,6.5,0
238.0,8.1,258.99,3.9,2066.0,138,128.0,6.9,1
595.87,4.92,626.7,4.1,2063.0,15,128.0,6.1,2
329.97,0.0,329.97,4.4,2060.0,138,64.0,6.3,1
236.0,0.0,236.0,4.1,2052.0,138,128.0,6.7,1
68.9,0.0,68.9,4.2,2047.0,108,32.0,5.7,0
225.0,5.86,239.0,4.1,2042.0,138,128.0,6.7,1
116.99,0.0,116.99,4.4,2003.0,188,64.0,6.53,0
483.42,7.91,524.95,4.2,1983.0,15,128.0,6.7,2
240.0,36.84,379.99,4.0,1971.0,138,128.0,6.1,1
250.0,0.0,250.0,4.1,1964.0,138,128.0,6.9,1
69.99,0.0,69.99,3.3,1893.0,50,1.0,1.8,0
42.69,6.59,45.7,3.6,1882.0,13,32.0,5.0,0
554.4,0.0,554.4,4.2,1864.0,15,128.0,6.1,2
79.99,0.0,79.99,3.8,1864.0,177,16.0,6.52,0
315.99,0.0,315.99,4.1,1859.0,138,128.0,6.9,1
71.99,40.0,119.99,4.0,1847.0,103,32.0,6.75,0
59.99,0.0,59.99,4.1,1846.0,169,1.0,5.34,0
89.0,0.0,89.0,3.8,1814.0,138,32.0,6.5,0
275.0,16.41,329.0,4.3,1809.0,138,128.0,6.4,1
199.99,0.0,199.99,4.3,1786.0,15,64.0,4.7,0
168.98,0.0,168.98,4.2,1774.0,108,124.0,6.0,0
349.99,0.0,349.99,4.5,1762.0,73,6.0,5.81,1
229.99,7.99,249.95,4.2,1759.0,108,256.0,6.8,1
145.99,12.05,166.0,4.0,1759.0,138,128.0,6.7,0
82.79,10.95,92.97,4.4,1722.0,188,64.0,6.53,0
204.9,0.0,204.9,4.0,1718.0,138,128.0,6.2,1
199.99,0.0,199.99,4.1,1682.0,138,128.0,6.2,0
86.0,4.53,90.08,3.8,1670.0,138,32.0,6.5,0
49.99,0.0,49.99,3.9,1600.0,169,32.0,5.45,0
178.0,40.66,299.99,3.9,1596.0,138,128.0,6.5,0
89.99,0.0,89.99,4.4,1568.0,169,16.0,5.0,0
289.36,0.0,289.36,3.9,1566.0,138,128.0,6.7,1
220.0,0.0,220.0,4.3,1542.0,138,64.0,6.3,1
376.2,0.0,376.2,4.3,1531.0,119,8.0,6.7,1
62.44,6.81,67.0,3.9,1502.0,32,16.0,2.8,0
